experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	plant_quality	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2024-03-20	0	N2C3	WCS365	0.005	3.16819941469305	439.388797552852	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	3.44673223098309	424.503738414786	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	3.18427464751206	442.545841714651	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	3.89292043839656	454.644360335474	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	4.54901405530584	367.409606505543	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-3.94659853903692	432.377014519701	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-3.81094687134101	454.151862965155	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-5.13976627551358	415.551966306612	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-5.19537001148176	266.762993529264	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.015	-4.41148117003217	361.681315875602	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	4.52871003144059	417.45381138039	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	4.96348820371163	397.871015024733	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	5.44043290441149	488.051649047214	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	5.97412401190291	417.008961097337	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.015	4.63442379597061	363.125829222493	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-01-30	0	WCS365	N2C3	0.001	2.47327270474169	443.114349477709	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
